id,bai,tieude,noidung
1,JS 2.4 Variable Name,Bài tập,"Cho 1 chương trình mẫu. Nhưng nó ko phải là 1 chương trình đúng. Các tên biến đang ko tuân theo chuẩn của JS. Hãy thay đổi tên biến cho chính xác và in chúng ra màn hình
Đầu vào
: Không có
Đầu ra
: Hãy thay đổi tên biến cho chính xác và in chúng ra màn hình"
2,JS 2.4 Variable Name,Gợi ý,Đọc phần lý thuyết sau để biết về quy tắc đặt tên biến trong JS
3,JS 2.4 Variable Name,Lý thuyết,"Hiểu về quy tắc đặt tên cho biến.
Biết những từ khóa riêng cái mà không thể sử dùng làm biến, function, phương thức hay tên đối tượng.
Các quy ước đặt tên cho các biến JavaScript
Khi đặt tên cho các biến của bạn trong JavaScript, hãy ghi nhớ các quy tắc sau.
- Tên biến phải bắt đầu bằng một chữ cái, gạch dưới (_), hay ký tự dollar ($).
- Tên biến không thể bắt đầu bằng 1 chữ số.
- Tên biến chỉ có thể chưa ký tự alpha-numeric (A-z, 0-9) và gạch dưới.
- Tên biến không thể chưa ký tự cách.
- Tên biến không thể là các từ khóa của JavaScript hay reserved word (từ khóa riêng).
- Tên biến trong JS có phân biệt hoa thường. Ví dụ,
Name
và
name
là 2 biến khác nhau.
Bảng sau là danh sách nhưng từ khóa riêng của JS. Chúng ko thể dc sử dụng đề đặt tên biến, hàm, phương thức, nhãn vòng lắp hay tên object."
4,JS 2.2  Variables,Bài tập,"Khai báo biến
a
và gán giá trị 15 cho
a
.
Khai báo biến
b
và gán giá trị 'javascript' cho
b
.
Khai báo biến
c
và gán giá trị true cho
c
.
In ra tất cả các biến trong chương trình
Đầu vào
: Không có
Đầu ra
: In ra tất cả các biến trong chương trình"
5,JS 2.2  Variables,Gợi ý,Đọc phần lý thuyết sau để hiểu về biến trong JS
6,JS 2.2  Variables,Lý thuyết,"Hiểu về cách làm việc của biến (Khai báo, Khởi tạo, gán giá trị
Biến là gì
Các biến là cơ bản cho tất cả các ngôn ngữ lập trình. Các biến được sử dụng để lưu trữ dữ liệu, như chuỗi văn bản, số, v.v. Dữ liệu hoặc giá trị được lưu trữ trong các biến có thể được gán, thay đổi và truy xuất bất cứ khi nào cần. Nói chung, các biến là tên tượng trưng cho các giá trị.
Bạn có thể tạo 1 biến với từ khóa
var
, toán tử gán (
=
) được sử dụng để gán giá trị cho biến, như:
var varName = value;
Ví dụ:
```js
varname=""Tuan Phong"";varage=10;varisBoy=true;
```
Trong ví dụ trên, chúng ta đã tạo ba biến, biến thứ nhất được gán với giá trị chuỗi, biến thứ hai được gán với một số, trong khi biến cuối được gán với giá trị boolean. Các biến có thể chứa các loại dữ liệu khác nhau, chúng ta sẽ tìm hiểu về chúng trong chương sau.
Trong JavaScript, các biến cũng có thể được khai báo mà không có bất kỳ giá trị ban đầu nào được gán cho chúng. Điều này hữu ích cho các biến được cho là giữ các giá trị như đầu vào của người dùng.
```js
// Declaring Variablevarname;// Assigning valuename=""Tuan Phong"";
```
Khai báo nhiều biến cùng một lúc
Ngoài ra, bạn cũng có thể khai báo nhiều biến và đặt giá trị ban đầu của chúng trong một câu lệnh. Mỗi biến được phân tách bằng dấu phẩy, như được minh họa trong ví dụ sau:
```js
/Declaring multiple Variablesvarname=""Tuan Phong"",age=10,isBoy=true;/* Longer declarations can be written to span
multiple lines to improve the readability */varname=""Tuan Phong"",age=10,isBoy=true;
```
Phạm vi của biến
Phạm vi của một biến là khu vực của chương trình mà nó được xác định. Các biến JavaScript chỉ có hai phạm vi.
- Global Variables (Biến toàn cục)
− Một biến toàn cục có phạm vi toàn cầu, có nghĩa là nó có thể được định nghĩa ở bất kỳ đâu trong mã JavaScript của bạn.
- Local Variables (Biến cục bộ)
− Một biến cục bộ sẽ chỉ hiển thị trong một hàm được định nghĩa. Các tham số chức năng luôn luôn cục bộ với chức năng đó.
```js
varmyVar=""out of function"";// Declare a global variablefunctiondo_something(){varmyVar=""in of function"";// Declare a local variableconsole.log(myVar);}do_something();// Output: ""in of function""// orvarmyVar=""out of function"";// Declare a global variablefunctiondo_something(){console.log(myVar);}do_something();// Output: ""out of function""
```"
7,JS 3.5 Operators -  typeof Operator,Bài tập,"Viết chương trình in ra kiểu dữ liệu của các biến trong chương trình
```js
vara=12;varb=""javascript"";varc=true;vard=['Apple','Banana'];vare={type:""Fiat"",model:""500"",color:""white""};varf=function(){console.log(""javascript"");};varg;
```"
8,JS 3.5 Operators -  typeof Operator,Gợi ý,"Sử dụng
typeof"
9,JS 3.5 Operators -  typeof Operator,Lý thuyết,"Sinh viên hiểu về các toán tử typeof và cách sử dụng nó trong các vấn đề thực tế.
Toán tử
typeof
là toán tử đơn nguyên được đặt trước toán hạng đơn của nó, có thể là bất kỳ loại nào. Giá trị của nó là một chuỗi chỉ ra kiểu dữ liệu của toán hạng.
Toán tử
typeof
ước tính thành ""number"", ""string"" hoặc ""boolean"" nếu toán hạng của nó là một số, chuỗi hoặc giá trị boolean và trả về giá trị đúng hoặc sai dựa trên đánh giá.
Dưới đây là danh sách các giá trị trả về cho Toán tử typeof..
Arr
Chuỗi trả về bởi typeof
Number
""number""
String
""string""
Boolean
""boolean""
Object
""object""
Array
""object""
Function
""function""
Undefined
""undefined""
Null
""object"""
10,JS 3.5 Operators -  typeof Operator,Ví dụ:,"```js
console.log(typeof42);// expected output: ""number""console.log(typeof'blubber');// expected output: ""string""console.log(typeoftrue);// expected output: ""boolean""console.log(typeofdeclaredButUndefinedVariable);// expected output: ""undefined"";
```"
