id,bai,tieude,noidung
1,Arrow function trong JavaScript,Giới thiệu,"Ngoàifunction declarationvàfunction expression, JavaScript còn cóarrow function. Trong bài viết này, mình sẽ trình bày về arrow function là gì và cách sử dụng arrow function cơ bản."
2,Arrow function trong JavaScript,Arrow function trong Javascript là gì?,"Arrow function trong JavaScript là hàm sử dụng kí hiệu=>để định nghĩa, với cú pháp cơ bản như sau:
`=>` 
```js
let func = (arg1, arg2,..., argN) => expression;
```
`let func = (arg1, arg2,..., argN) => expression;` Hàm trên nhận danh sách tham số là(arg1, arg2,..., argN), sau đó thực hiện biểu thứcexpressionrồireturnvề kết quả của biểu thứcexpression.
`(arg1, arg2,..., argN)` `expression` `return` `expression` Nói cách khác, đây là cách biểu diễn rút gọn của biểu thức hàm:

```js
let func = function(arg1, arg2,..., argN) {
      return expression;
    }
```
`let func = function(arg1, arg2,..., argN) {
      return expression;
    }` Ví dụ sử dụng arrow function trả về tổng của hai số:

```js
let sum = (a, b) => a + b;
console.log(sum(1, 2)); // 3
```
`let sum = (a, b) => a + b;
console.log(sum(1, 2)); // 3` Hàmsumnhận vào hai tham số làavàb. Sau đó, hàm này tính tổnga + brồi trả về giá trị tổng đó.
`sum` `a` `b` `a + b` Nếu arrow function có một tham số thì bạn có thể bỏ qua cặp dấu(), ví dụ:
`()` 
```js
let square = (n) => n * n;
```
`let square = (n) => n * n;` Trường hợp, arrow function không có tham số nào, thì bạn nên viết cặp dấu():
`()` 
```js
let sayHello = () => console.log(""Hello!"");
```
`let sayHello = () => console.log(""Hello!"");`"
3,Arrow function trong JavaScript,Sử dụng arrow function,"Arrow function có thể được sử dụng giống như function expression.
Ví dụ khởi tạo hàm dựa trên điều kiện:

```js
let isVietnamese = confirm(""Bạn có phải người Việt Nam không?"");
let welcome = isVietnamese
  ? () => console.log(""Chào bạn!"")
  : () => console.log(""Hello!"");
welcome();
```
`let isVietnamese = confirm(""Bạn có phải người Việt Nam không?"");
let welcome = isVietnamese
  ? () => console.log(""Chào bạn!"")
  : () => console.log(""Hello!"");
welcome();` Ví dụ sử dụng arrow function làm hàm callback:

```js
function ask(question, handleYes, handleNo) {
  const answer = confirm(question);
  if (answer) {
    handleYes();
  } else {
    handleNo();
  }
}

ask(
  ""Bạn muốn tiếp tục thực hiện chương trình không?"",
  () => console.log(""Bạn đã chọn Yes!""),
  () => console.log(""Bạn đã chọn No!"")
);
```
`function ask(question, handleYes, handleNo) {
  const answer = confirm(question);
  if (answer) {
    handleYes();
  } else {
    handleNo();
  }
}

ask(
  ""Bạn muốn tiếp tục thực hiện chương trình không?"",
  () => console.log(""Bạn đã chọn Yes!""),
  () => console.log(""Bạn đã chọn No!"")
);`"
4,Arrow function trong JavaScript,Arrow function với nhiều dòng code,"Trong các ví dụ trên, thành phầnexpressionchỉ là một dòng code. Tuy nhiên, bạn cũng có thể viết nhiều dòng code bằng cách đặt chúng vào trong cặp dấu{}và sử dụng từ khóareturnđể trả về giá trị.
`expression` `{}` `return` Ví dụ arrow function tính tổng hai số với nhiều dòng code:

```js
let sum = (a, b) => {
  return a + b;
};

console.log(sum(1, 2)); // 3
```
`let sum = (a, b) => {
  return a + b;
};

console.log(sum(1, 2)); // 3`"
5,Arrow function trong JavaScript,Tổng kết,"Vậy arrow function là gì?
Arrow function là hàm sử dụng kí tự=>để khai báo hàm, giúp việc khai báo hàm trở nên ngắn gọn hơn.
`=>` Cú pháp cơ bản là:

```js
let func = (arg1, arg2,..., argN) => expression;
```
`let func = (arg1, arg2,..., argN) => expression;` Arrow function trên nhận vào danh sách tham số(arg1, arg2,..., argN), thành phầnexpressionđược xử lý và trả về giá trị củaexpression.
`(arg1, arg2,..., argN)` `expression` `expression` Trường hợp có dấu{}, bạn cần sử dụng thêm từ khóareturnđể trả về giá trị của hàm.
`{}` `return` 
```js
let func = (arg1, arg2,..., argN) => {
      expression;
      return something;
    }
```
`let func = (arg1, arg2,..., argN) => {
      expression;
      return something;
    }` Arrow function có thể được sử dụng giống như function expression."
6,Arrow function trong JavaScript,Thực hành,"Viết arrow function trả về giá trị nhỏ nhất của hai số (giả sử giá trị truyền nào luôn là số).
Xem đáp án

```js
let min = (a, b) => (a < b ? a : b);

min(2, 5); // 2
min(4, -1); // -1
min(3, 3); // 3
```
`let min = (a, b) => (a < b ? a : b);

min(2, 5); // 2
min(4, -1); // -1
min(3, 3); // 3` Trường hợp hai số truyền vào bằng nhau thì dĩ nhiên kết quả là giá trị của hai số đó.
Viết arrow function kiểm tra xem một số có phải là số nguyên tố hay không. Nếu là số nguyên tố thì trả vềtrue. Ngược lại, trả vềfalse.
`true` `false` Sau đó, in ra các số nguyên tố từ 1 đến 10.
Xem đáp án

```js
// Hàm kiểm tra số nguyên tố
const isPrime = (number) => {
  if (isNaN(number)) return false;

  if (number < 2) return false;
  if (number === 2) return true;

  for (i = 2; i * i <= number; i++) {
    if (number % i === 0) return false;
  }

  return true;
};

// Duyệt từ 1 đến 10 để in ra số nguyên tố
for (let i = 1; i <= 10; i++) {
  if (isPrime(i)) {
    console.log(i);
  }
}

// 2
// 3
// 5
// 7
```
`// Hàm kiểm tra số nguyên tố
const isPrime = (number) => {
  if (isNaN(number)) return false;

  if (number < 2) return false;
  if (number === 2) return true;

  for (i = 2; i * i <= number; i++) {
    if (number % i === 0) return false;
  }

  return true;
};

// Duyệt từ 1 đến 10 để in ra số nguyên tố
for (let i = 1; i <= 10; i++) {
  if (isPrime(i)) {
    console.log(i);
  }
}

// 2
// 3
// 5
// 7` Trong đó:
`isNaN(number)` `number` `NaN` `isNaN(number)` `false` `number`"
7,Bất đồng bộ song song hay tuần tự?,Giới thiệu,"Có thể bạn đã quen với việcxử lý bất đồng bộtrong JavaScript với Promise hoặc Async/await rồi. Tuy nhiên, khi bạn có một chuỗi các hành động thì câu hỏi đặt ra là: bạn sẽ xử lý chúng như thế nào? Bạn quyết định xử lý bất đồng bộ song song hay tuần tự?
Câu trả lời có lẽ sẽ phụ thuộc vào từng trường hợp. Tuy nhiên, để biết được nên lựa chọn cách nào thì bạn cần phải biết ý nghĩa và cách triển khai của từng trường hợp.
Bài viết này sẽ giới thiệu với bạn về 2 cách xử lý bất đồng bộ. Mời bạn theo dõi bài viết!"
8,Bất đồng bộ song song hay tuần tự?,Định nghĩa bài toán,"Giả sử, mình cómột công việcbất đồng bộ là: lấy thông tin bài viết (getPost). Công việc này bao gồm3 hành độngbất đồng bộ là:

```js
const wait = (ms) => {
  return new Promise((res) => setTimeout(res, ms));
};

const getContent = async () => {
  await wait(1000);
  return ""This is content"";
};

const getComments = async () => {
  await wait(1500);
  return [""comment 1"", ""comment 2""];
};

const getRelatedPosts = async () => {
  await wait(2000);
  return [""post 2"", ""post 3"", ""post 4""];
};

const getPost = async () => {
  // TODO: Implement later
};
```
`const wait = (ms) => {
  return new Promise((res) => setTimeout(res, ms));
};

const getContent = async () => {
  await wait(1000);
  return ""This is content"";
};

const getComments = async () => {
  await wait(1500);
  return [""comment 1"", ""comment 2""];
};

const getRelatedPosts = async () => {
  await wait(2000);
  return [""post 2"", ""post 3"", ""post 4""];
};

const getPost = async () => {
  // TODO: Implement later
};` Với công việc như trên, mình sẽ thử triển khai theo cách xử lý bất đồng bộ tuần tự và cách xử lý bất đồng bộ song song, sau đó sẽ kiểm tra xem cách nào tốt hơn nhé!"
9,Bất đồng bộ song song hay tuần tự?,Xử lý bất đồng bộ tuần tự,"Với cách này, 3 hành độnggetContent,getCommentsvàgetRelatedPostssẽ thực hiện tuần tự nhau. Nếu sử dụng async/await thì kết quả sẽ như sau:

```js
const getPost = async () => {
  console.time(""time"");

  const content = await getContent();
  const comments = await getComments();
  const relatedPosts = await getRelatedPosts();

  console.log(`Post Info: `, { content, comments, relatedPosts });
  console.timeEnd(""time"");
};

getPost();
/*
    Post Info:
    {
      comments:  [""comment 1"", ""comment 2""]
      content: ""This is content""
      relatedPosts: [""post 2"", ""post 3"", ""post 4""]
    }
    time: 4504.9638671875ms
    */
```
`const getPost = async () => {
  console.time(""time"");

  const content = await getContent();
  const comments = await getComments();
  const relatedPosts = await getRelatedPosts();

  console.log(`Post Info: `, { content, comments, relatedPosts });
  console.timeEnd(""time"");
};

getPost();
/*
    Post Info:
    {
      comments:  [""comment 1"", ""comment 2""]
      content: ""This is content""
      relatedPosts: [""post 2"", ""post 3"", ""post 4""]
    }
    time: 4504.9638671875ms
    */` Trong ví dụ trên, mình sử dụngconsole.time và console.timeEndđể tính toán thời gian thực hiện. Kết quả thu được cỡ4500 ms. Đó chính làtổng thời gian thực hiện của 3 hành động.
Cụ thể:

```js
time(getPost) = time(getContent) + time(getComments) + time(getRelatedPosts)
    = 1000 + 1500 + 2000
    = 4500 (ms)
```
`time(getPost) = time(getContent) + time(getComments) + time(getRelatedPosts)
    = 1000 + 1500 + 2000
    = 4500 (ms)`"
10,Bất đồng bộ song song hay tuần tự?,Xử lý bất đồng bộ song song,"Với cách này, 3 hành độnggetContent,getCommentsvàgetRelatedPostssẽ thực hiện gần như là song song với nhau. Để thực hiện việc này, mình sẽ áp dụngPromise.allvào đây và kết quả thu được như sau:

```js
const getPost = async () => {
  console.time(""time"");

  const [content, comments, relatedPosts] = await Promise.all([
    getContent(),
    getComments(),
    getRelatedPosts(),
  ]);

  console.log(`Post Info: `, { content, comments, relatedPosts });
  console.timeEnd(""time"");
};

/*
    Post Info:
    {
      comments:  [""comment 1"", ""comment 2""]
      content:  ""This is content""
      relatedPosts:  [""post 2"", ""post 3"", ""post 4""]
    }
    time: 2001.398193359375ms
    */
```
`const getPost = async () => {
  console.time(""time"");

  const [content, comments, relatedPosts] = await Promise.all([
    getContent(),
    getComments(),
    getRelatedPosts(),
  ]);

  console.log(`Post Info: `, { content, comments, relatedPosts });
  console.timeEnd(""time"");
};

/*
    Post Info:
    {
      comments:  [""comment 1"", ""comment 2""]
      content:  ""This is content""
      relatedPosts:  [""post 2"", ""post 3"", ""post 4""]
    }
    time: 2001.398193359375ms
    */` Trong ví dụ trên, mình đưa 3 hành động bất đồng bộ vào mộtmảng, rồi truyền nó vào Promise.all. Tiếp theo, mình thực hiệnawaitvới phương thức này để đợi kết quả trả về.
Sau khi hàm trên kết thúc, mình dùngDestructuring Assignmentđể lấy ra kết quả như mong muốn, theo đúng thứ tự truyền vào của các hành động bên trong Promise.all.
Với cách này, thời gian thực hiện cỡ2000 ms. Đó chính làthời gian thực hiện lớn nhất của 3 hành động.
Cụ thể:

```js
time(getPost) = Max of [time(getContent), time(getComments), time(getRelatedPosts)]
    = Max of [1000, 1500, 2000]
    = 2000
```
`time(getPost) = Max of [time(getContent), time(getComments), time(getRelatedPosts)]
    = Max of [1000, 1500, 2000]
    = 2000`"
