id,bai,tieude,noidung
1,Bài 29: Ajax trong javascript,Giới thiệu,"Tại thời điểm mình viết bài này, hầu như khi nhắc đếnajaxlà các bạn lại nghĩ ngay đếnjqueryvà các bạn cũng thường biết jquery được phát triển trên javascript. Vậy nên hôm nay mình sẽ giới thiệu với mọi người vềajax trong javascript(không phải jquery nhe)."
2,Bài 29: Ajax trong javascript,"1, Tổng quan.","-Ajax (Asynchronous JavaScript and XML) - là một khái niệm được  Jesse James Garrett giới thiệu và sử dụng đầu tiền vào tháng 2 năm 2005. Khi sử dụng ajax thì chúng ta có thể sử dụng code javascript giao tiếp được với server. Ajax sử dụng đối tượngXMLHttpRequestđể giao tiếp, trao đổi thông tin giữa server với client. Đến thời điểm hiện tại thì ajax đã hỗ trên tất cả các trình duyệt (cả pc và mobile).

```js
XMLHttpRequest
```"
3,Bài 29: Ajax trong javascript,Khởi tạo đối tượng.,"-Để sử dụng được ajax trong javascript thì các bạn phải sử dụng đối tượng XMLHttpRequest. Và để khởi tạo đối tượng này thì chúng ta sử dụng cú pháp.

```js
var variableName = new XMLHttpRequest();
```

```js
var variableName = new XMLHttpRequest();
```
Trong đó:varriableNamelà tên biến mà các bạn muốn gán cho abjectXMLHttpRequest.

```js
varriableName
```

```js
XMLHttpRequest
```
-Tuy nhiên nếu như bạn đang sử dụng trình duyệt internet Explode 6 trở xuống thì đối tượng này sẽ có tên làActiveXObject. Chính vì điều đó, nên để cho chắc ăn thì các bạn nên khởi tạo đối tượng bằng cách sau:

```js
ActiveXObject
```

```js
if (window.XMLHttpRequest) {
    var  xhttp = new XMLHttpRequest();
} else {
    var xhttp = new ActiveXObject(""Microsoft.XMLHTTP"");
}
```

```js
if (window.XMLHttpRequest) {
    var  xhttp = new XMLHttpRequest();
} else {
    var xhttp = new ActiveXObject(""Microsoft.XMLHTTP"");
}
```
hoặc ngắn gọn hơn.

```js
var xhttp = new XMLHttpRequest() || ActiveXObject(""Microsoft.XMLHTTP"");
```

```js
var xhttp = new XMLHttpRequest() || ActiveXObject(""Microsoft.XMLHTTP"");
```"
4,Bài 29: Ajax trong javascript,Các thuộc tính và phương thức.,"-Dưới đây mình sẽ liệu kê ra các phương thức và thuộc tính trong đối tượng này.
Cấu hình cho một request mới.
Trong đó:
- method là phương thức gửi request (GET,POST).
- url là địa chỉ gửi request.
- async là có chấp nhận đồng bộ không (truelà không -falselà có).

```js
true
```

```js
false
```
- username là tùy chọn tên user (có thể bỏ trống).
- password là password của user (có thể bỏ trống).

```js
open()
```

```js
string
```

```js
header
```

```js
value
```

```js
readstate
```
Trạng thái của XMLHttpRequest.
Trong đó nếu giá trị bằng các giá trị sau thì sẽ có trạng thái tương ứng.
Trả về trạng thái của request. VD: 200,404,403"
5,Bài 29: Ajax trong javascript,Ajax GET request.,"VD: Mình sẽ gửi một GET request như sau.

```js
var sendajax = function () {
    //Khoi tao doi tuong
    var xhttp = new XMLHttpRequest() || ActiveXObject();
    //Bat su kien thay doi trang thai cuar request
    xhttp.onreadystatechange = function () {
        //Kiem tra neu nhu da gui request thanh cong
        if (this.readyState == 4 && this.status == 200) {
            //In ra data nhan duoc
            addData(this.responseText)
        }
    }
    //cau hinh request
    xhttp.open('GET','description.php?data=true',true);
    //gui request
    xhttp.send();
}
var addData = function (data) {
    document.getElementById('result').innerText = data;
}
```

```js
var sendajax = function () {
    //Khoi tao doi tuong
    var xhttp = new XMLHttpRequest() || ActiveXObject();
    //Bat su kien thay doi trang thai cuar request
    xhttp.onreadystatechange = function () {
        //Kiem tra neu nhu da gui request thanh cong
        if (this.readyState == 4 && this.status == 200) {
            //In ra data nhan duoc
            addData(this.responseText)
        }
    }
    //cau hinh request
    xhttp.open('GET','description.php?data=true',true);
    //gui request
    xhttp.send();
}
var addData = function (data) {
    document.getElementById('result').innerText = data;
}
```
Xem Kết Quả"
6,Bài 29: Ajax trong javascript,Ajax POST request,"-Đối với POST request thông thường (không gửi kèm theo dữ liệu) thì các bạn làm tương tự như GET method. Còn nếu như các bạn muốn gửi kèm thêm dữ liệu vào trong POST request thì các bạn cần phải thực hiện thêm một cấu hình nữa làsetRequestHeadercho nó nữa. Thông thường thì chúng ta thường cấu hình dưới dạng ""application/x-www-form-urlencoded"".

```js
setRequestHeader
```
VD: Mình sẽ gửi một POST request như sau.

```js
var sendajax = function() {
    //Khoi tao doi tuong
    var xhttp = new XMLHttpRequest() || ActiveXObject();
    //Bat su kien thay doi trang thai cuar request
    xhttp.onreadystatechange = function() {
            //Kiem tra neu nhu da gui request thanh cong
            if (this.readyState == 4 && this.status == 200) {
                //In ra data nhan duoc
                addData(this.responseText)
            }
        }
        //cau hinh request
    xhttp.open('POST', 'description.php', true);
    //cau hinh header cho request
    xhttp.setRequestHeader('Content-Type', 'application/x-www-form-urlencoded');
    //gui request
    xhttp.send('data=true');
}

var addData = function(data) {
    document.getElementById('result').innerText = data;
}
```

```js
var sendajax = function() {
    //Khoi tao doi tuong
    var xhttp = new XMLHttpRequest() || ActiveXObject();
    //Bat su kien thay doi trang thai cuar request
    xhttp.onreadystatechange = function() {
            //Kiem tra neu nhu da gui request thanh cong
            if (this.readyState == 4 && this.status == 200) {
                //In ra data nhan duoc
                addData(this.responseText)
            }
        }
        //cau hinh request
    xhttp.open('POST', 'description.php', true);
    //cau hinh header cho request
    xhttp.setRequestHeader('Content-Type', 'application/x-www-form-urlencoded');
    //gui request
    xhttp.send('data=true');
}

var addData = function(data) {
    document.getElementById('result').innerText = data;
}
```
Xem Kết Quả"
7,Bài 29: Ajax trong javascript,Ajax với XML file.,"- Giả sử mình có một file XML (relationships.xml) chứa thông tin của các em gái như sau:

```js
<?xml version=""1.0"" encoding=""UTF-8""?>
<relationship>
    <sister>
        <name>Nguyễn Khánh Linh</name>
        <age>18</age>
        <location>Ha Noi</location>
    </sister>
    <sister>
        <name>Tình Tây</name>
        <age>18</age>
        <location>Bắc Giang</location>
    </sister>
    <sister>
        <name>Như ý</name>
        <age>18</age>
        <location>Cà mau</location>
    </sister>
    <sister>
        <name>Bella</name>
        <age>20</age>
        <location>Unknown</location>
    </sister>

</relationship>
```

```js
<?xml version=""1.0"" encoding=""UTF-8""?>
<relationship>
    <sister>
        <name>Nguyễn Khánh Linh</name>
        <age>18</age>
        <location>Ha Noi</location>
    </sister>
    <sister>
        <name>Tình Tây</name>
        <age>18</age>
        <location>Bắc Giang</location>
    </sister>
    <sister>
        <name>Như ý</name>
        <age>18</age>
        <location>Cà mau</location>
    </sister>
    <sister>
        <name>Bella</name>
        <age>20</age>
        <location>Unknown</location>
    </sister>

</relationship>
```
Bây giờ mình sẽ viết code javascript để gửi request đến file xml này.

```js
var sendajax = function() {
    //Khoi tao doi tuong
    var xhttp = new XMLHttpRequest() || ActiveXObject();
    //Bat su kien thay doi trang thai cuar request
    xhttp.onreadystatechange = function() {
            //Kiem tra neu nhu da gui request thanh cong
            if (this.readyState == 4 && this.status == 200) {
                //In ra data nhan duoc
                addData(this.responseXML)
            }
        }
        //cau hinh request
    xhttp.open('GET', 'https://toidicode.com/live/php/relationships.xml', true);
    //cau hinh header cho request
    xhttp.setRequestHeader('Content-Type', 'application/x-www-form-urlencoded');
    //gui request
    xhttp.send('data=true');
}

var addData = function(data) {
    //Tao cau truc table
    var table = '<table border=""1"" cellspacing=""5"" cellpadding=""5"" style=""border-collapse:collapse""><tr><th>ID</th><th>Name</th><th>Age</th><th>Location</th></tr>';
    //Tim node sister trong xml tra ve
    var sister = data.getElementsByTagName('sister');
    //Lap het cac nde tim duoc
    for (i = 0 ; i < sister.length ; i++) {
        //Lay du lieu trong node
        table += '<tr><td>'+ (i+1) +'</td>';
        table += '<td>' + sister[i].getElementsByTagName('name')[0].childNodes[0].nodeValue + '</td>';
      table += '<td>' + sister[i].getElementsByTagName('age')[0].childNodes[0].nodeValue + '</td>';
        table += '<td>' + sister[i].getElementsByTagName('location')[0].childNodes[0].nodeValue + '</td></tr>'
    }
    document.getElementById('result').innerHTML = table;
}
```

```js
var sendajax = function() {
    //Khoi tao doi tuong
    var xhttp = new XMLHttpRequest() || ActiveXObject();
    //Bat su kien thay doi trang thai cuar request
    xhttp.onreadystatechange = function() {
            //Kiem tra neu nhu da gui request thanh cong
            if (this.readyState == 4 && this.status == 200) {
                //In ra data nhan duoc
                addData(this.responseXML)
            }
        }
        //cau hinh request
    xhttp.open('GET', 'https://toidicode.com/live/php/relationships.xml', true);
    //cau hinh header cho request
    xhttp.setRequestHeader('Content-Type', 'application/x-www-form-urlencoded');
    //gui request
    xhttp.send('data=true');
}

var addData = function(data) {
    //Tao cau truc table
    var table = '<table border=""1"" cellspacing=""5"" cellpadding=""5"" style=""border-collapse:collapse""><tr><th>ID</th><th>Name</th><th>Age</th><th>Location</th></tr>';
    //Tim node sister trong xml tra ve
    var sister = data.getElementsByTagName('sister');
    //Lap het cac nde tim duoc
    for (i = 0 ; i < sister.length ; i++) {
        //Lay du lieu trong node
        table += '<tr><td>'+ (i+1) +'</td>';
        table += '<td>' + sister[i].getElementsByTagName('name')[0].childNodes[0].nodeValue + '</td>';
      table += '<td>' + sister[i].getElementsByTagName('age')[0].childNodes[0].nodeValue + '</td>';
        table += '<td>' + sister[i].getElementsByTagName('location')[0].childNodes[0].nodeValue + '</td></tr>'
    }
    document.getElementById('result').innerHTML = table;
}
```
Xem Kết Quả"
8,Bài 29: Ajax trong javascript,"4, Lời kết.","-Như vậy phần này mình đã giới thiệu xong đến mọi người vềajax trong javascriptrồi. Bài này bình thường sẽ không có gì quan trọng nếu như bạn sử dụng được jquery, nhưng trong một số trường hợp mà chúng ta không sử dụng được jquery thì với biết được tác dụng của nó."
9,Bài 25: Các hàm xử lý chuỗi trong Javascript,Giới thiệu,"Chuỗi - String là một thứ không thể thiếu trong một ngôn ngữ và đi kèm theo nó là hàng loạt các hàm xử lý chuỗi sẵn có, rất hữu dụng. Và đương nhiêntrong javascriptcũng thế."
10,Bài 25: Các hàm xử lý chuỗi trong Javascript,"1, Khai báo chuỗi trong javascript.","-Mặc dù đã được học về khai báo chuỗi trong javascript rồi (xem lại). Nhưng thôi ở đây mình cứ nhắc lại, coi như chúng ta ôn lại bài cũ.
-Để khai báo trong javascript chúng ta có có thể đặt trong dấu'hoặc"".

```js
'
```

```js
""
```
VD:

```js
var a = 'toidicode.com';
//Hoặc
var b = ""toidicode.com"";
```

```js
var a = 'toidicode.com';
//Hoặc
var b = ""toidicode.com"";
```
Và chúng ta cũng có thể sử dụng trích dẫn trong chuỗi, nhưng với điều kiện là không được trùng với ký tự bao ngoài nó.
VD:

```js
var a = 'Học lập trình online miễn phí ""toidicode.com""';
//hoặc
var b = ""Học lập trình online miễn phí 'toidicode.com'"";
```

```js
var a = 'Học lập trình online miễn phí ""toidicode.com""';
//hoặc
var b = ""Học lập trình online miễn phí 'toidicode.com'"";
```
-Nếu như trong trường hợp bắt buộc thì chúng ta cũng có thể sử dụng trùng ký tự nhưng phải đặt dấu\ở trước ký tự bến trong nó.

```js
\
```
VD:

```js
var a = 'học lập trình online \'toidicode.com\'';
//Hoặc
var b = ""học lập trình online \""toidicode.com\""""
```

```js
var a = 'học lập trình online \'toidicode.com\'';
//Hoặc
var b = ""học lập trình online \""toidicode.com\""""
```
Xem Kết Quả"
11,Bài 25: Các hàm xử lý chuỗi trong Javascript,length,"-Để lấy độ dài của chuỗi trong javascript chúng ta sử dụng thuộc tínhlength.

```js
length
```
Cú Pháp:

```js
string.length;
```

```js
string.length;
```
Trong đó:stringlà tên biến chứa chuỗi.

```js
string
```
VD:

```js
var a = ""Học lập trình javascript online toidicode.com"";
var count = a.length;
document.write(count);
```

```js
var a = ""Học lập trình javascript online toidicode.com"";
var count = a.length;
document.write(count);
```
Xem Kết Quả"
12,Bài 25: Các hàm xử lý chuỗi trong Javascript,indexOf(),"-Phương thức này trả về vị trí của từ xuất hiện đầu tiên trong chuỗi, nếu trong chuỗi không có từ cần tìm thì nó sẽ trả về-1.

```js
-1
```
Cú Pháp:

```js
string.indexOf(keyword);
```

```js
string.indexOf(keyword);
```
Trong đó:keywordlà từ khóa mà các bạn cần tìm trong chuỗi.

```js
keyword
```
VD:

```js
var des = ""toidicode là trang web chuyên chia sẻ các tutorials về lập trình toidicode"";
var position = des.indexOf('toidicode');
alert('Vị trí của chuỗi toidicode trong des là: ' + position);
```

```js
var des = ""toidicode là trang web chuyên chia sẻ các tutorials về lập trình toidicode"";
var position = des.indexOf('toidicode');
alert('Vị trí của chuỗi toidicode trong des là: ' + position);
```
Xem Kết Quả"
13,Bài 25: Các hàm xử lý chuỗi trong Javascript,lastIndexOf(),"-Phương thức này cũng giống với phương thức indexOf() là tìm kiếm vị trí của chuỗi, nhưng hàm này sẽ trả vềvị trí cuối cùng của chuỗi xuất hiệntrong chuỗi cần tìm.
Cú Pháp:

```js
string.lastIndexOf(keyword);
```

```js
string.lastIndexOf(keyword);
```
Trong đó:keywordlà từ khóa mà các bạn cần tìm trong chuỗi.

```js
keyword
```
VD:

```js
var des = ""toidicode là trang web chuyên chia sẻ các tutorials về lập trình toidicode"";
var position = des.lastIndexOf('toidicode');
alert('Vị trí của chuỗi toidicode trong des là: ' + position);
```

```js
var des = ""toidicode là trang web chuyên chia sẻ các tutorials về lập trình toidicode"";
var position = des.lastIndexOf('toidicode');
alert('Vị trí của chuỗi toidicode trong des là: ' + position);
```
Xem Kết Quả"
14,Bài 25: Các hàm xử lý chuỗi trong Javascript,Search(),-Hàm này giống như hàm indexOf nên mình sẽ không trình bày thêm.
